,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,6,2,1,0,,,,True,2945,300,log,2330,4,0,611,-271.22369,6775.28981,6776.84073,,-12.0005
0,0,6,2,1,0,,,,True,2945,300,log,2292,4,0,649,-273.38041,6773.51784,6777.63198,-14.2044,
0,0,6,2,1,0,13202.804463611461,25.618130871092944,337.56212471099485,True,2945,300,log,2285,0,0,660,-291.35711,6759.79349,6762.47361,-13.37003,-14.73549
0,0,6,2,1,0,13205.369827995095,20.71909640252852,337.7601665440955,True,2945,300,log,2297,1,0,647,-296.56526,6765.71748,6767.1112,-16.65247,-14.24113
0,0,6,2,1,0,13170.489228034403,20.404262701471453,337.58194752226916,True,2945,300,log,2359,0,0,586,-306.57049,6758.51292,6753.60022,-17.02771,-18.02571
0,0,6,2,1,0,13193.673700851818,15.689309161087294,337.8778376062011,True,2945,300,log,2283,2,0,660,-303.47601,6761.67126,6765.67723,-12.34719,-17.8516
0,0,7,2,1,0,13261.211080190624,20.569727002832224,337.7663464725099,True,2945,300,log,2259,8,0,678,-270.22944,6776.65672,6779.07189,-13.69534,-10.59275
0,0,7,2,1,0,13215.918527584163,21.652767944455263,337.87635498383895,True,2945,300,log,2340,0,0,605,-293.11314,6770.29752,6771.03594,-17.60122,-14.70058
0,0,7,2,1,0,,,,True,2945,300,log,2403,3,0,539,-288.60877,6769.25281,6760.57756,,
0,0,7,2,1,0,13219.01239954201,25.110454149320503,337.7266205355163,True,2945,300,log,2372,0,0,573,-284.40781,6766.2225,6770.60173,-17.83764,-15.56638
0,0,7,2,1,0,13202.413342293752,22.075387239314296,337.75930750777945,True,2945,300,log,2389,3,0,553,-294.10847,6763.36118,6766.80863,-17.25082,-16.39719
0,0,7,2,1,0,13223.07141551992,16.78441235084756,337.83650605415716,True,2945,300,log,2352,0,0,593,-287.81523,6770.42864,6771.80654,-17.29018,-14.05835
0,0,7,2,1,0,13220.285531975504,22.40890107242012,337.8702588028997,True,2945,300,log,2398,0,1,546,-283.10174,6768.55612,6772.48638,-17.82402,-19.83121
0,0,7,2,1,0,13187.956602811675,20.450798949677846,337.5676859384598,True,2945,300,log,2357,0,0,588,-304.20007,6758.23764,6765.33778,-15.15089,-16.26785
0,0,7,2,1,0,13176.108858915428,19.37671939608481,337.8645430979133,True,2945,300,log,2403,0,0,542,-303.47053,6758.21698,6762.1634,-19.53959,-21.2614
0,0,7,2,1,0,13163.098682407031,23.55607429423071,337.6278779527856,True,2945,300,log,2411,2,0,532,-306.86124,6751.74685,6757.3618,-21.37166,-17.77708
0,0,8,2,1,0,,,,True,2945,300,log,2297,5,0,643,-274.29697,6775.37223,6778.83509,,-11.89553
0,0,8,2,1,0,13292.199175309433,22.990901707398734,338.09502501296464,True,2945,300,log,2213,12,0,720,-266.53886,6786.86304,6790.08253,-10.6925,-7.51503
0,0,8,2,1,0,,,,True,2945,300,log,2297,1,0,647,-269.6693,6778.75483,6779.20707,,
0,0,8,2,1,0,13236.81966501947,26.80178223109033,337.67579690904574,True,2945,300,log,2373,1,1,570,-277.43472,6763.46984,6779.52552,-15.11734,-13.62363
0,0,8,2,1,0,,,,True,2945,300,log,2375,4,0,566,-289.8775,6765.34877,6767.28525,,-16.5526
0,0,8,2,1,0,,,,True,2945,300,log,2392,0,0,553,-294.45763,6766.09057,6770.67668,-17.05205,
0,0,8,2,1,0,13168.840346219535,22.857513005801593,337.64021398814754,True,2945,300,log,2469,1,0,475,-307.34984,6754.23272,6761.31785,-20.98969,-18.37069
0,0,8,2,1,0,13136.18041364513,30.60391952530881,337.34772479401533,True,2945,300,log,2549,2,0,394,-313.50866,6744.10429,6748.44589,-21.45372,-21.40738
0,0,8,2,1,0,13199.405412798471,19.8406613133302,337.9326290270872,True,2945,300,log,2345,1,0,599,-299.02512,6763.121,6766.09942,-13.36993,-17.41996
0,0,8,2,1,0,13222.739387994257,21.98630301998128,337.7350390811326,True,2945,300,log,2307,1,0,637,-290.34807,6770.05337,6770.84821,-12.31633,-15.49779
0,0,9,2,1,0,,,,True,2945,300,log,2191,23,4,727,-248.33309,6791.68551,6797.46889,,-7.82774
0,0,9,2,1,0,13296.678527640126,30.30367183609451,338.13665818562913,True,2945,300,log,2288,0,0,657,-260.79158,6789.39507,6790.96069,-12.79481,-10.09084
0,0,9,2,1,0,13286.707974161669,27.109388233609934,337.56944738111923,True,2945,300,log,2317,2,0,626,-254.37137,6781.34773,6783.82669,-9.78842,-14.30666
0,0,9,2,1,0,13078.770699103567,38.244853604132004,335.7910112741731,True,2945,300,log,2727,0,0,218,-314.7941,6726.07486,6726.41629,-30.05623,-28.87011
0,0,9,2,1,0,,,,True,2945,300,log,2348,1,0,596,-277.52705,6772.39725,6775.81136,-15.84839,
0,0,9,2,1,0,13213.291659000173,23.924137381309265,337.84258679559576,True,2945,300,log,2435,0,0,510,-290.32747,6768.7385,6770.1952,-17.53868,-17.77589
0,0,9,2,1,0,,,,True,2945,300,log,2417,0,0,528,-286.06825,6765.33712,6772.55569,,-16.08644
0,0,9,2,1,0,,,,True,2945,300,log,2264,2,0,679,-278.0333,6777.09994,6780.47678,,-14.21111
0,0,9,2,1,0,13276.35234743065,27.577398959434504,337.7091340911039,True,2945,300,log,2284,2,0,659,-262.23765,6778.46219,6783.94619,-13.22193,-10.59646
0,0,9,2,1,0,,,,True,2945,300,log,2328,3,0,614,-269.80309,6776.86743,6779.27728,,
0,0,10,2,1,0,13233.039087855097,24.326045468314987,337.9149167846654,True,2945,300,log,2415,2,0,528,-280.09665,6770.82394,6779.06212,-17.47122,-19.27911
0,0,10,2,1,0,13266.413090256523,22.282658539894328,338.0225565901824,True,2945,300,log,2270,7,0,668,-271.33957,6779.15447,6782.11579,-11.57813,-11.93946
0,0,10,2,1,0,13292.332909502176,25.75000631960029,338.2181620158729,True,2945,300,log,2304,3,1,637,-265.84079,6789.09957,6794.181,-12.04656,-13.06031
0,0,10,2,1,0,,,,True,2945,300,log,2794,2,0,149,-330.44174,6711.89393,6732.0114,-31.19244,
0,0,10,2,1,0,13203.17911023181,30.678434567556906,338.0221144112824,True,2945,300,log,2420,1,0,524,-295.67565,6767.06164,6767.48552,-19.62658,-16.06582
0,0,10,2,1,0,,,,True,2945,300,log,2293,2,0,650,-273.70352,6781.77796,6783.84579,-12.29754,
0,0,10,2,1,0,13253.959638681663,22.178809868735698,337.93741765062407,True,2945,300,log,2378,2,0,565,-270.56344,6778.20209,6779.3738,-15.19879,-17.85403
0,0,10,2,1,0,,,,True,2945,300,log,2267,6,0,672,-267.8611,6784.40891,6787.97935,-11.92933,
0,0,10,2,1,0,,,,True,2945,300,log,2265,7,0,673,-243.34546,6797.07264,6798.28061,,
0,0,10,2,1,0,,,,True,2945,300,log,2287,7,1,650,-255.68152,6791.56331,6788.72091,,
0,0,11,2,1,0,,,,True,2945,300,log,2289,2,0,654,-279.17531,6769.87678,6775.99973,,-14.3508
0,0,11,2,1,0,13220.9267580764,17.859122762678453,337.8772158951611,True,2945,300,log,2374,1,0,570,-286.9164,6771.72303,6770.13669,-19.45625,-14.5603
0,0,11,2,1,0,13231.661767402305,17.393336420633204,337.80978782883324,True,2945,300,log,2303,1,0,641,-283.62633,6772.02899,6772.39952,-13.79167,-15.34874
0,0,11,2,1,0,13239.725124889823,16.77539412679107,337.8541623309931,True,2945,300,log,2303,2,0,640,-276.19208,6772.77728,6774.88671,-18.17696,-13.56982
0,0,11,2,1,0,,,,True,2945,300,log,2295,1,0,649,-290.47452,6769.71528,6770.55283,,
0,0,11,2,1,0,13199.16858887906,19.201583895539443,337.83208586750925,True,2945,300,log,2299,2,0,644,-297.79413,6759.14373,6768.91622,-15.39127,-15.70596
0,0,11,2,1,0,13199.28841866224,15.412463426855538,337.8743217977108,True,2945,300,log,2311,1,0,633,-296.16778,6764.73741,6764.50422,-17.56898,-16.21644
0,0,11,2,1,0,13207.34740085458,15.581245477902485,337.9515338378778,True,2945,300,log,2336,3,0,606,-293.28806,6766.30288,6768.0971,-16.49022,-17.27431
0,0,11,2,1,0,,,,True,2945,300,log,2259,0,0,686,-298.46275,6761.61338,6770.33836,,-17.43152
0,0,11,2,1,0,,,,True,2945,300,log,2366,2,0,577,-287.70726,6769.52901,6771.9633,-17.88286,
0,0,12,2,1,0,13190.810812100326,22.19715176837235,337.9358773818356,True,2945,300,log,2332,1,0,612,-300.73284,6761.70464,6764.09894,-16.38301,-17.87691
0,0,12,2,1,0,,,,True,2945,300,log,2317,3,0,625,-305.24476,6760.76239,6765.77731,,-17.09586
0,0,12,2,1,0,13227.851942836503,18.57430235349966,337.93403670050424,True,2945,300,log,2250,0,0,695,-289.15205,6772.65212,6770.35099,-14.67791,-11.32121
0,0,12,2,1,0,13070.11532123408,25.113846977772482,337.30443815474774,True,2945,300,log,2726,1,0,218,-320.91365,6727.50555,6728.33047,-28.58169,-36.22536
0,0,12,2,1,0,13212.539038011331,18.82222902308058,337.9181086324338,True,2945,300,log,2328,2,0,615,-295.26306,6764.94215,6771.41873,-14.66999,-13.88879
0,0,12,2,1,0,13255.929885359354,22.339158448823582,337.9222930910369,True,2945,300,log,2298,1,0,646,-274.141,6779.24948,6780.26656,-16.98134,-12.4638
0,0,12,2,1,0,13181.154574575463,21.688144969732093,337.7560312679904,True,2945,300,log,2345,1,0,599,-302.47718,6754.0735,6764.41908,-18.75167,-16.10916
0,0,12,2,1,0,13161.337266702136,20.81688149265392,337.75633739566445,True,2945,300,log,2380,2,0,563,-311.90196,6754.98613,6756.55675,-18.31097,-19.99268
0,0,12,2,1,0,13158.990226570573,19.517466569624958,337.75371285878117,True,2945,300,log,2362,2,0,581,-315.01871,6753.0062,6757.92035,-17.39725,-19.52036
0,0,12,2,1,0,,,,True,2945,300,log,2760,2,0,183,-357.0972,6697.42224,6693.2009,-53.72387,
0,0,13,2,1,0,13336.655490139688,29.55020638857968,337.8835500997344,True,2945,300,log,2202,13,0,730,-243.2107,6795.52712,6796.95477,-6.94288,-5.67281
0,0,13,2,1,0,13346.624807948781,35.03051204843723,337.9289831682571,True,2945,300,log,2222,4,0,719,-240.36553,6803.56384,6800.34586,-8.08163,-8.83774
0,0,13,2,1,0,,,,True,2945,300,log,2215,11,0,719,-250.15316,6804.6257,6806.63848,,
0,0,13,2,1,0,13277.091424672963,31.66491602143651,337.7188432009679,True,2945,300,log,2295,5,1,644,-266.29025,6776.61272,6787.35301,-9.97795,-10.6061
0,0,13,2,1,0,,,,True,2945,300,log,2408,2,0,535,-267.27792,6777.93233,6780.00317,-15.29108,
0,0,13,2,1,0,,,,True,2945,300,log,2283,1,0,661,-268.42281,6776.77001,6783.28862,,-9.8729
0,0,13,2,1,0,,,,True,2945,300,log,2304,0,0,641,-273.58963,6789.03777,6787.48408,-11.52984,
0,0,13,2,1,0,13287.724817484077,25.01314220229142,337.9596015171273,True,2945,300,log,2254,5,0,686,-263.51298,6783.7771,6789.49311,-11.59907,-10.43334
