run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_UNKNOWN,cobra_time_in_UNKNOWN,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE
842,139.2,60000.0,0.0,180.0,BehaviorType.ATTACK,48706.88854647234,36697.11722661681,1,60000.0,0.0,180.0,BehaviorType.ATTACK,25097.825291725454,25350.483412265265,1,BOTH_SURVIVED,True,48630.0,19.0,True,25039.953,64.5,0.2,0.2,55.60000000000052,55.60000000000052,6.299999999999994,0.0,77.19999999999989,77.19999999999989,0.0,6.299999999999994
843,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,63247.09101422776,45327.645170717,1,60000.0,0.0,180.0,BehaviorType.ATTACK,20379.328863384104,67837.16108330352,1,BOTH_SURVIVED,True,59790.0,0.4,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,93.89999999999894,26.600000000000108,26.600000000000108,93.89999999999894,0.0
844,90.4,60000.0,0.0,180.0,BehaviorType.ATTACK,29764.44423810508,37698.21490529845,0,60000.0,0.0,180.0,BehaviorType.ATTACK,44460.88436778556,25797.763287650585,1,COBRA_WIN,True,29706.339,52.9,True,44370.0,26.1,0.2,0.2,0.0,0.0,29.200000000000145,0.0,61.0000000000006,61.0000000000006,0.0,29.300000000000146
845,71.0,60000.0,0.0,180.0,BehaviorType.ATTACK,49746.71608819808,40156.529316944754,1,60000.0,0.0,180.0,BehaviorType.ATTACK,21951.728127580598,23186.520422690624,0,VIPER_WIN,True,49650.0,17.3,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,0.0,70.90000000000025,70.80000000000025,0.0,0.0
846,130.4,60000.0,0.0,180.0,BehaviorType.ATTACK,61551.95649655966,40947.29769609102,0,60000.0,0.0,180.0,BehaviorType.ATTACK,34325.343724979066,5520.354683812875,1,COBRA_WIN,True,59790.0,0.4,True,34233.956,50.0,0.2,0.2,0.0,0.0,66.30000000000051,0.0,63.90000000000064,63.90000000000064,0.0,66.4000000000005
847,185.4,60000.0,0.0,180.0,BehaviorType.ATTACK,23651.737939256032,168.21616730494094,1,60000.0,0.0,180.0,BehaviorType.ATTACK,43633.33509729613,52623.35813205912,1,BOTH_SURVIVED,True,23586.723,65.2,True,43530.0,27.5,0.2,0.2,53.200000000000486,53.200000000000486,0.0,53.60000000000049,78.49999999999982,78.49999999999982,53.60000000000049,0.0
848,148.1,60000.0,0.0,180.0,BehaviorType.ATTACK,36934.12980746607,68660.42713303544,1,60000.0,0.0,180.0,BehaviorType.ATTACK,43372.7716713797,18459.576785574805,1,BOTH_SURVIVED,True,36847.66,38.7,True,43290.0,27.9,0.2,0.2,0.0,0.0,95.59999999999884,0.0,52.400000000000475,52.400000000000475,0.0,95.59999999999884
849,66.7,60000.0,0.0,180.0,BehaviorType.ATTACK,67668.47451227353,28182.15246120058,1,60000.0,0.0,180.0,BehaviorType.ATTACK,53999.511632095084,755.1206550747136,0,VIPER_WIN,True,59790.0,0.4,True,53919.826,10.2,0.2,0.2,0.0,0.0,0.0,0.0,66.60000000000049,66.5000000000005,0.0,0.0
850,67.0,60000.0,0.0,180.0,BehaviorType.ATTACK,21184.322084705447,24453.90384800323,0,60000.0,0.0,180.0,BehaviorType.ATTACK,54775.93014614058,34613.56051987786,1,COBRA_WIN,False,-1.0,-1.0,True,54690.0,8.9,0.2,0.2,0.0,0.0,0.0,0.0,66.80000000000048,66.90000000000047,0.0,0.0
851,63.1,60000.0,0.0,180.0,BehaviorType.ATTACK,28153.202122392693,11969.79732095731,0,60000.0,0.0,180.0,BehaviorType.ATTACK,65033.13143841083,15546.050240832963,1,COBRA_WIN,False,-1.0,-1.0,True,59790.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,62.900000000000624,63.000000000000625,0.0,0.0
