run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch
75,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49173.90077821977,42972.66386012163,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49930.18690479443,36114.6892731952,1,BOTH_SURVIVED,True,49070.0,1.6,True,49790.0,0.4
76,300.0,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49039.936959510815,42095.19015287303,1,50000.0,-0.006,-179.99400000000003,BehaviorType.ATTACK,49405.277016341075,39801.36302295919,1,BOTH_SURVIVED,True,48950.0,1.8,True,49310.0,1.2
77,300.0,50000.0,0.005,179.995,BehaviorType.ATTACK,49989.238819654405,24253.3864692886,1,50000.0,0.005,179.995,BehaviorType.ATTACK,49382.678761879,8067.548046852452,0,VIPER_WIN,True,49790.0,0.4,True,49310.0,1.2
78,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49399.75414766923,7851.083862616687,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49729.496468996826,40174.00414029337,1,BOTH_SURVIVED,True,49310.0,1.2,True,49610.0,0.7
79,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49460.263113002264,43039.4993080892,1,50000.0,0.002,179.998,BehaviorType.ATTACK,49791.430179961404,41415.756237087415,1,BOTH_SURVIVED,True,49370.0,1.1,True,49730.0,0.5
80,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49191.37061615869,11470.359744326703,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49393.35334057582,33712.695368979614,0,VIPER_WIN,True,49130.0,1.5,True,49310.0,1.2
81,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49195.41580663069,331.788372437708,0,50000.0,0.002,179.998,BehaviorType.ATTACK,49390.68662525896,6976.317778413627,1,COBRA_WIN,True,49130.0,1.5,True,49310.0,1.2
82,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49640.468645172215,25157.766167555303,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49100.317385082635,23892.374113747956,0,VIPER_WIN,True,49550.0,0.8,True,49010.0,1.7
83,300.0,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49782.38144848291,999.440460588219,1,50000.0,0.004,179.99599999999998,BehaviorType.ATTACK,49169.10080389613,1490.1533100318,0,VIPER_WIN,True,49670.0,0.6,True,49070.0,1.6
84,300.0,50000.001,-0.008,-179.99200000000002,BehaviorType.ATTACK,49591.715416436695,16532.2729778686,1,50000.001,-0.008,-179.99200000000002,BehaviorType.ATTACK,49407.67334328775,44323.04207034613,1,BOTH_SURVIVED,True,49490.001,0.9,True,49310.001,1.2
85,300.0,50000.0,-0.006999999999999999,-179.993,BehaviorType.ATTACK,49346.9794908783,14455.154859335145,1,50000.0,-0.006999999999999999,-179.993,BehaviorType.ATTACK,49103.892656133154,36930.87708831266,1,BOTH_SURVIVED,True,49250.0,1.3,True,49010.0,1.7
86,300.0,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49108.46049010964,13793.340971559053,0,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49214.761097355564,14357.308301809573,1,COBRA_WIN,True,49010.0,1.7,True,49130.0,1.5
