,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
123,0,3,2,1,0,1,8156.221324077074,3.845609574362154,277.2422968594802,False,1960,300,log,-370.2893,4390.42127,4390.40863,-123.73935,-130.57992
124,0,3,2,1,0,1,8156.6564885298685,3.752872966693086,277.2845738469106,False,1960,300,log,-371.04383,4390.80186,4390.66985,-123.36792,-130.40347
125,0,3,2,1,0,1,8159.2526255425655,3.577416205727327,277.29662493129916,False,1960,300,log,-369.66076,4390.57647,4390.8236,-122.05282,-130.43386
126,0,3,2,1,0,1,8159.2088276078875,3.5372888658611004,277.30887028925224,False,1960,300,log,-370.46665,4391.01644,4391.33907,-121.00581,-131.67423
127,0,3,2,1,0,1,8155.607877600009,3.195671237917338,277.2136400429859,False,1960,300,log,-370.13652,4390.29293,4390.00388,-121.59143,-132.96098
128,0,3,2,1,0,1,8160.291446087851,3.2283549090027313,277.1695290411065,False,1960,300,log,-369.00821,4390.36126,4390.07315,-121.41982,-129.71494
129,0,3,2,1,0,1,8154.424859794444,3.887838508998138,277.2997102421621,False,1960,300,log,-371.87834,4390.29691,4390.03355,-123.19609,-130.83118
130,0,3,2,1,1,1,8204.831473991311,3.886755601815726,280.86222017411995,False,1960,300,log,-347.08068,4439.78006,4440.27844,-161.78747,-166.35887
131,0,3,2,1,1,1,8204.029857991578,3.992224987812363,280.9471852967112,False,1960,300,log,-347.39337,4440.079,4440.17639,-162.55619,-166.27597
132,0,3,2,1,1,1,8205.380286919599,3.5860671333032395,281.1077330178532,False,1960,300,log,-348.10136,4441.94333,4441.24141,-162.1261,-167.57698
133,0,3,2,1,1,1,8203.001688788707,3.751675964778749,280.9003103682246,False,1960,300,log,-348.44718,4440.17034,4440.12169,-162.89284,-165.95032
134,0,3,2,1,1,1,8204.867003218564,4.381620047244476,280.9231514410514,False,1960,300,log,-348.35243,4440.72251,4440.70895,-162.2216,-165.99043
135,0,3,2,1,1,1,8206.522528505973,3.5870082332417423,281.06585678500323,False,1960,300,log,-349.12694,4442.27835,4442.04856,-162.24061,-166.43683
136,0,3,2,1,1,1,8205.350726279139,3.8541391899570456,280.8755135590359,False,1960,300,log,-347.86638,4440.87693,4440.41091,-161.69152,-166.37921
137,0,3,2,1,1,1,8206.381286689677,3.549061590563457,280.82913140886023,False,1960,300,log,-347.73244,4440.64615,4440.48665,-160.78523,-166.23384
138,0,3,2,1,1,1,8203.722596386648,3.806942802414154,280.74410730500625,False,1960,300,log,-348.59997,4439.74179,4440.20906,-161.93381,-165.69448
