,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,weight,y0,y3,y4
215,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
216,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
217,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
218,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
219,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
220,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
221,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
222,0,1,2,1,3,unweighted,-0.1456,-0.0859,-0.0799
223,0,1,2,1,3,linear,0.3964,-0.0859,-0.0799
224,0,1,2,1,3,quadratic,0.6493,-0.0859,-0.0799
225,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
226,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
227,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
228,0,1,2,1,3,unweighted,-0.1663,-0.0859,-0.0799
229,0,1,2,1,3,linear,0.3933,-0.0859,-0.0799
230,0,1,2,1,3,quadratic,0.6525,-0.0859,-0.0799
231,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
232,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
233,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
234,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
235,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
236,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
237,0,1,2,1,3,unweighted,-0.1717,-0.0859,-0.0799
238,0,1,2,1,3,linear,0.3888,-0.0859,-0.0799
239,0,1,2,1,3,quadratic,0.6492,-0.0859,-0.0799
240,0,2,2,1,0,unweighted,-0.1717,0.3021,-0.0799
241,0,2,2,1,0,linear,0.3888,0.3021,-0.0799
242,0,2,2,1,0,quadratic,0.6492,0.3021,-0.0799
243,0,2,2,1,0,unweighted,-0.1717,0.3388,-0.0799
244,0,2,2,1,0,linear,0.3888,0.3388,-0.0799
245,0,2,2,1,0,quadratic,0.6492,0.3388,-0.0799
246,0,2,2,1,0,unweighted,-0.1717,0.3178,-0.0799
247,0,2,2,1,0,linear,0.3888,0.3178,-0.0799
248,0,2,2,1,0,quadratic,0.6492,0.3178,-0.0799
249,0,2,2,1,0,unweighted,-0.1717,0.3232,-0.0799
250,0,2,2,1,0,linear,0.3888,0.3232,-0.0799
251,0,2,2,1,0,quadratic,0.6492,0.3232,-0.0799
252,0,2,2,1,0,unweighted,-0.1717,0.3074,-0.0799
253,0,2,2,1,0,linear,0.3888,0.3074,-0.0799
254,0,2,2,1,0,quadratic,0.6492,0.3074,-0.0799
255,0,2,2,1,0,unweighted,-0.1717,0.2809,-0.0799
256,0,2,2,1,0,linear,0.3888,0.2809,-0.0799
257,0,2,2,1,0,quadratic,0.6492,0.2809,-0.0799
258,0,2,2,1,0,unweighted,-0.1717,0.3182,-0.0799
259,0,2,2,1,0,linear,0.3888,0.3182,-0.0799
260,0,2,2,1,0,quadratic,0.6492,0.3182,-0.0799
261,0,2,2,1,0,unweighted,-0.1717,0.3127,-0.0799
262,0,2,2,1,0,linear,0.3888,0.3127,-0.0799
263,0,2,2,1,0,quadratic,0.6492,0.3127,-0.0799
264,0,2,2,1,0,unweighted,-0.1717,0.3333,-0.0799
265,0,2,2,1,0,linear,0.3888,0.3333,-0.0799
266,0,2,2,1,0,quadratic,0.6492,0.3333,-0.0799
267,0,2,2,1,0,unweighted,-0.1717,0.2698,-0.0799
268,0,2,2,1,0,linear,0.3888,0.2698,-0.0799
269,0,2,2,1,0,quadratic,0.6492,0.2698,-0.0799
270,0,2,2,1,1,unweighted,-0.1717,-0.0859,-0.0799
271,0,2,2,1,1,linear,0.3888,-0.0859,-0.0799
272,0,2,2,1,1,quadratic,0.6492,-0.0859,-0.0799
