,test_id,kcid,lmc_prior_code,lengthscale_prior_code,kernel_structure,n_kernels,active_dims,additive,independent_outputs
340,2,8,0,1,,3,,True,True
341,2,8,0,1,,3,,True,True
342,2,8,0,1,,3,,True,True
343,2,8,0,1,,3,,True,True
344,2,8,0,1,,3,,True,True
345,2,8,0,1,,3,,True,True
346,2,8,0,1,,3,,True,True
347,2,8,0,1,,3,,True,True
348,2,8,0,1,,3,,True,True
349,2,8,0,1,,3,,True,True
350,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
351,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
352,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
353,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
354,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
355,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
356,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
357,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
358,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
359,3,8,2,1,['SE_1^(0) x PPoly2_1^(0) + SE_2^(0) x M52_1^(0) + SE_3^(0)'],3,,False,False
