timestep,launcher_callsign,launcher_alive,launcher_id,launcher_x,launcher_y,launcher_z,launcher_psi,launcher_theta,launcher_phi,launcher_v,wpn_id,weapon_id,wpn_alive,wpn_x,wpn_y,wpn_z,wpn_psi,wpn_theta,wpn_phi,wpn_v,wpn_type,wpn_status,target_id,target_name,target_x,target_y,target_z,target_psi,target_theta,target_v,target_range,target_ata,target_aa,target_impact
03.10,viper,1,100,-29070.016,-0.735,5000.000,359.216,00.000,-18.043,300.000,0,0,1,-29056.685,13.022,5000.000,06.055,00.000,67.143,316.000,AAM_SARH,INFLIGHT,200,cobra,19100.000,04.361,5000.000,179.863,00.000,300.000,48188.109,02.044,-179.869,0
03.10,cobra,1,200,19070.000,04.447,5000.000,179.836,00.000,-8.915,300.000,0,0,1,19070.899,-22.353,5000.000,187.231,00.000,70.529,302.000,AAM_SARH,INFLIGHT,100,viper,-29100.013,-0.324,5000.000,359.275,00.000,300.000,48200.876,06.725,-179.297,0
03.20,viper,1,100,-29040.019,-1.177,5000.000,359.155,00.000,-18.647,300.000,0,0,1,-29025.138,16.134,5000.000,05.634,00.000,-98.063,317.000,AAM_SARH,INFLIGHT,200,cobra,19070.000,04.447,5000.000,179.836,00.000,300.000,48126.686,06.066,-179.846,0
03.20,cobra,1,200,19040.001,04.548,5000.000,179.806,00.000,-9.610,300.000,0,0,1,19040.877,-26.443,5000.000,187.758,00.000,70.529,303.000,AAM_SARH,INFLIGHT,100,viper,-29070.016,-0.735,5000.000,359.216,00.000,300.000,48140.920,07.257,-179.242,0
03.30,viper,1,100,-29010.023,-1.652,5000.000,359.092,00.000,-19.245,300.000,0,0,1,-28993.431,18.564,5000.000,04.382,00.000,-65.022,318.000,AAM_SARH,INFLIGHT,200,cobra,19040.001,04.548,5000.000,179.806,00.000,300.000,48065.140,05.647,-179.820,0
03.30,cobra,1,200,19010.001,04.667,5000.000,179.775,00.000,-10.299,300.000,0,0,1,19010.794,-30.822,5000.000,188.282,00.000,70.529,304.000,AAM_SARH,INFLIGHT,100,viper,-29040.019,-1.177,5000.000,359.155,00.000,300.000,48080.902,07.788,-179.185,0
03.40,viper,1,100,-28980.027,-2.162,5000.000,359.027,00.000,-19.838,300.000,0,0,1,-28961.609,20.791,5000.000,04.003,00.000,-71.630,319.000,AAM_SARH,INFLIGHT,200,cobra,19010.001,04.667,5000.000,179.775,00.000,300.000,48003.434,04.399,-179.791,0
03.40,cobra,1,200,18980.001,04.802,5000.000,179.740,00.000,-10.980,300.000,0,0,1,18980.653,-35.491,5000.000,188.805,00.000,70.529,305.000,AAM_SARH,INFLIGHT,100,viper,-29010.023,-1.652,5000.000,359.092,00.000,300.000,48020.826,08.317,-179.127,0
03.50,viper,1,100,-28950.032,-2.707,5000.000,358.959,00.000,-20.424,300.000,0,0,1,-28929.667,22.729,5000.000,03.473,00.000,-70.309,320.000,AAM_SARH,INFLIGHT,200,cobra,18980.001,04.802,5000.000,179.740,00.000,300.000,47941.612,04.022,-179.760,0
03.50,cobra,1,200,18950.001,04.957,5000.000,179.704,00.000,-11.655,300.000,0,0,1,18950.457,-40.450,5000.000,189.326,00.000,70.529,306.000,AAM_SARH,INFLIGHT,100,viper,-28980.027,-2.162,5000.000,359.027,00.000,300.000,47960.692,08.845,-179.067,0
03.60,viper,1,100,-28920.038,-3.288,5000.000,358.889,00.000,-21.004,300.000,0,0,1,-28897.644,24.948,5000.000,03.963,00.000,98.696,321.000,AAM_SARH,INFLIGHT,200,cobra,18950.001,04.957,5000.000,179.704,00.000,300.000,47879.672,03.494,-179.725,0
03.60,cobra,1,200,18920.002,05.132,5000.000,179.666,00.000,-12.323,300.000,0,0,1,18920.210,-45.699,5000.000,189.845,00.000,70.529,307.000,AAM_SARH,INFLIGHT,100,viper,-28950.032,-2.707,5000.000,358.959,00.000,300.000,47900.505,09.371,-179.004,0
03.70,viper,1,100,-28890.044,-3.907,5000.000,358.818,00.000,-21.579,300.000,0,0,1,-28865.572,27.815,5000.000,05.108,00.000,64.895,322.000,AAM_SARH,INFLIGHT,200,cobra,18920.002,05.132,5000.000,179.666,00.000,300.000,47817.650,03.987,-179.689,0
03.70,cobra,1,200,18890.003,05.329,5000.000,179.625,00.000,-12.985,300.000,0,0,1,18889.912,-51.239,5000.000,190.363,00.000,70.529,308.000,AAM_SARH,INFLIGHT,100,viper,-28920.038,-3.288,5000.000,358.889,00.000,300.000,47840.266,09.896,-178.940,0
03.80,viper,1,100,-28860.052,-4.565,5000.000,358.743,00.000,-22.148,300.000,0,0,1,-28833.382,30.481,5000.000,04.735,00.000,-97.614,323.000,AAM_SARH,INFLIGHT,200,cobra,18890.003,05.329,5000.000,179.625,00.000,300.000,47755.580,05.135,-179.652,0
03.80,cobra,1,200,18860.003,05.548,5000.000,179.581,00.000,-13.639,300.000,0,0,1,18859.567,-57.071,5000.000,190.879,00.000,70.529,309.000,AAM_SARH,INFLIGHT,100,viper,-28890.044,-3.907,5000.000,358.818,00.000,300.000,47779.980,10.420,-178.874,0
03.90,viper,1,100,-28830.060,-5.263,5000.000,358.667,00.000,-22.711,300.000,0,0,1,-28801.162,33.889,5000.000,06.037,00.000,104.157,324.000,AAM_SARH,INFLIGHT,200,cobra,18860.003,05.548,5000.000,179.581,00.000,300.000,47693.392,04.765,-179.611,0
03.90,cobra,1,200,18830.004,05.791,5000.000,179.536,00.000,-14.288,300.000,0,0,1,18829.178,-63.195,5000.000,191.393,00.000,70.529,310.000,AAM_SARH,INFLIGHT,100,viper,-28860.052,-4.565,5000.000,358.743,00.000,300.000,47719.648,10.942,-178.806,0
04.00,viper,1,100,-28800.069,-6.002,5000.000,358.589,00.000,-23.268,300.000,0,0,1,-28768.803,36.918,5000.000,05.349,00.000,-105.466,325.000,AAM_SARH,INFLIGHT,200,cobra,18830.004,05.791,5000.000,179.536,00.000,300.000,47631.175,06.070,-179.570,0
04.00,cobra,1,200,18800.006,06.059,5000.000,179.488,00.000,-14.929,300.000,0,0,1,18798.747,-69.611,5000.000,191.906,00.000,70.529,311.000,AAM_SARH,INFLIGHT,100,viper,-28830.060,-5.263,5000.000,358.667,00.000,300.000,47659.273,11.463,-178.737,0
04.10,viper,1,100,-28770.079,-6.783,5000.000,358.508,00.000,-23.820,300.000,0,0,1,-28736.380,40.311,5000.000,05.974,00.000,105.728,326.000,AAM_SARH,INFLIGHT,200,cobra,18800.006,06.059,5000.000,179.488,00.000,300.000,47568.819,05.386,-179.525,0
04.10,cobra,1,200,18770.007,06.353,5000.000,179.438,00.000,-15.565,300.000,0,0,1,18768.277,-76.320,5000.000,192.417,00.000,70.529,312.000,AAM_SARH,INFLIGHT,100,viper,-28800.069,-6.002,5000.000,358.589,00.000,300.000,47598.858,11.982,-178.665,0
04.20,viper,1,100,-28740.090,-7.607,5000.000,358.426,00.000,-24.367,300.000,0,0,1,-28703.856,43.697,5000.000,05.942,00.000,-21.146,327.000,AAM_SARH,INFLIGHT,200,cobra,18770.007,06.353,5000.000,179.438,00.000,300.000,47506.400,06.015,-179.479,0
04.20,cobra,1,200,18740.009,06.675,5000.000,179.386,00.000,-16.194,300.000,0,0,1,18737.770,-83.321,5000.000,192.926,00.000,70.529,313.000,AAM_SARH,INFLIGHT,100,viper,-28770.079,-6.783,5000.000,358.508,00.000,300.000,47538.407,12.501,-178.592,0
04.30,viper,1,100,-28710.103,-8.476,5000.000,358.341,00.000,-24.908,300.000,0,0,1,-28671.236,47.130,5000.000,06.009,00.000,88.864,328.000,AAM_SARH,INFLIGHT,200,cobra,18740.009,06.675,5000.000,179.386,00.000,300.000,47443.879,05.987,-179.431,0
04.30,cobra,1,200,18710.011,07.024,5000.000,179.332,00.000,-16.816,300.000,0,0,1,18707.229,-90.616,5000.000,193.434,00.000,70.529,314.000,AAM_SARH,INFLIGHT,100,viper,-28740.090,-7.607,5000.000,358.426,00.000,300.000,47477.921,13.018,-178.517,0
04.40,viper,1,100,-28680.117,-9.390,5000.000,358.254,00.000,-25.443,300.000,0,0,1,-28639.405,55.448,5000.000,14.645,00.000,66.862,329.000,AAM_SARH,INFLIGHT,200,cobra,18710.011,07.024,5000.000,179.332,00.000,300.000,47381.264,06.057,-179.380,0
04.40,cobra,1,200,18680.013,07.404,5000.000,179.275,00.000,-17.433,300.000,0,0,1,18676.657,-98.205,5000.000,193.940,00.000,70.529,315.000,AAM_SARH,INFLIGHT,100,viper,-28710.103,-8.476,5000.000,358.341,00.000,300.000,47417.403,13.533,-178.440,0
04.50,viper,1,100,-28650.132,-10.350,5000.000,358.165,00.000,-25.973,300.000,0,0,1,-28607.420,63.569,5000.000,14.245,00.000,-98.007,330.000,AAM_SARH,INFLIGHT,200,cobra,18680.013,07.404,5000.000,179.275,00.000,300.000,47319.443,14.703,-179.333,0
04.50,cobra,1,200,18650.016,07.814,5000.000,179.216,00.000,-18.043,300.000,0,0,1,18646.056,-106.087,5000.000,194.445,00.000,70.529,316.000,AAM_SARH,INFLIGHT,100,viper,-28680.117,-9.390,5000.000,358.254,00.000,300.000,47356.857,14.048,-178.361,0
04.60,viper,1,100,-28620.149,-11.359,5000.000,358.073,00.000,-26.498,300.000,0,0,1,-28575.173,71.035,5000.000,13.035,00.000,-65.033,331.000,AAM_SARH,INFLIGHT,200,cobra,18650.016,07.814,5000.000,179.216,00.000,300.000,47257.469,14.313,-179.284,0
04.60,cobra,1,200,18620.019,08.256,5000.000,179.155,00.000,-18.647,300.000,0,0,1,18615.429,-114.264,5000.000,194.948,00.000,70.529,317.000,AAM_SARH,INFLIGHT,100,viper,-28650.132,-10.350,5000.000,358.165,00.000,300.000,47296.285,14.561,-178.281,0
04.70,viper,1,100,-28590.168,-12.416,5000.000,357.980,00.000,-27.018,300.000,0,0,1,-28542.781,78.317,5000.000,12.670,00.000,-71.628,332.000,AAM_SARH,INFLIGHT,200,cobra,18620.019,08.256,5000.000,179.155,00.000,300.000,47195.234,13.111,-179.232,0
04.70,cobra,1,200,18590.023,08.732,5000.000,179.092,00.000,-19.245,300.000,0,0,1,18584.778,-122.735,5000.000,195.449,00.000,70.529,318.000,AAM_SARH,INFLIGHT,100,viper,-28620.149,-11.359,5000.000,358.073,00.000,300.000,47235.690,15.072,-178.198,0
