,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
0,0.0,5.0,2.0,1.0,82.189991,987.0
0,3.0,5.0,2.0,1.0,30.125205,964.0
0,0.0,5.0,2.0,1.0,80.835419,974.0
0,3.0,5.0,2.0,1.0,24.663439,787.0
0,0.0,5.0,2.0,1.0,81.037619,974.0
0,3.0,5.0,2.0,1.0,26.465585,846.0
0,0.0,5.0,2.0,1.0,81.832011,987.0
0,3.0,5.0,2.0,1.0,24.382163,782.0
0,0.0,5.0,2.0,1.0,81.3439,987.0
0,3.0,5.0,2.0,1.0,26.442266,847.0
0,0.0,5.0,2.0,1.0,81.263953,987.0
0,3.0,5.0,2.0,1.0,22.387894,711.0
0,0.0,5.0,2.0,1.0,80.737218,974.0
0,3.0,5.0,2.0,1.0,22.728676,726.0
0,0.0,5.0,2.0,1.0,63.089393,761.0
0,3.0,5.0,2.0,1.0,26.968517,854.0
0,0.0,5.0,2.0,1.0,80.433568,972.0
0,3.0,5.0,2.0,1.0,24.591131,787.0
0,0.0,5.0,2.0,1.0,76.351411,917.0
0,3.0,5.0,2.0,1.0,24.279856,782.0
0,0.0,6.0,2.0,1.0,105.700655,1058.0
0,3.0,6.0,2.0,1.0,34.103864,964.0
0,0.0,6.0,2.0,1.0,91.48949,917.0
0,3.0,6.0,2.0,1.0,32.511008,917.0
0,0.0,6.0,2.0,1.0,98.00558,984.0
0,3.0,6.0,2.0,1.0,23.873828,675.0
0,0.0,6.0,2.0,1.0,96.979301,974.0
0,3.0,6.0,2.0,1.0,32.211656,917.0
0,0.0,6.0,2.0,1.0,116.044596,1164.0
0,3.0,6.0,2.0,1.0,10.580479,300.0
0,0.0,6.0,2.0,1.0,82.393212,828.0
0,3.0,6.0,2.0,1.0,27.650809,782.0
0,0.0,6.0,2.0,1.0,98.466087,987.0
0,3.0,6.0,2.0,1.0,27.282962,772.0
0,0.0,6.0,2.0,1.0,96.743221,974.0
0,3.0,6.0,2.0,1.0,28.564248,815.0
0,0.0,6.0,2.0,1.0,98.359571,987.0
0,3.0,6.0,2.0,1.0,29.728366,846.0
0,0.0,6.0,2.0,1.0,116.087764,1164.0
0,3.0,6.0,2.0,1.0,29.912232,846.0
0,0.0,7.0,2.0,1.0,75.314773,974.0
0,3.0,7.0,2.0,1.0,27.044809,917.0
0,0.0,7.0,2.0,1.0,75.701738,987.0
0,3.0,7.0,2.0,1.0,23.477574,787.0
0,0.0,7.0,2.0,1.0,76.143566,987.0
0,3.0,7.0,2.0,1.0,23.386953,787.0
0,0.0,7.0,2.0,1.0,75.648918,987.0
