,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,0,2,1,0.1,0,2147.6203079134734,8.159332924637248,138.0894486599502,False,485,300,log,-56.83117,1108.83965,1108.11285,-9.04554,-3.45548
0,0,0,2,1,0.3,0,6542.6211050575,10.071282724307423,239.02210294811243,True,1475,300,log,-174.59695,3366.77121,3368.20406,-11.01093,-6.74628
0,1,0,0,1,0.1,0,2238.6464506155953,10.02307533387135,140.97400157168227,False,485,300,log,-38.94353,1139.04959,1140.95461,-2.1366,-0.27762
0,1,0,0,1,0.3,0,6594.811617395905,22.081505036069785,238.86500321914053,True,1475,300,log,-146.04719,3376.41451,3381.37074,-10.59907,-6.32736
0,2,0,0,1,0.1,0,2140.051469947138,12.627904629732669,137.10552098051798,True,485,300,log,-50.6899,1103.50998,1102.19743,-12.39721,-2.56883
0,2,0,0,1,0.3,0,6366.325540404333,28.99833869754186,236.13932225930134,True,1475,300,log,-177.50241,3288.05468,3341.04951,-73.85129,-11.42494
0,3,0,0,1,0.1,0,2567.5033646346265,150.90897992238183,158.55677367740432,True,485,300,log,-19.63154,1297.64253,1294.7451,-3.26114,-1.99159
0,3,0,0,1,0.3,0,7400.266405039954,209.44292422082208,264.93662008447336,True,1475,300,log,-94.43306,3760.1439,3752.94282,-13.45894,-4.92832
0,0,0,2,1,0.1,0,2240.2130066694654,10.149031751533151,140.30166326271228,False,485,300,log,-33.47757,1138.97906,1140.93195,-5.41136,-0.80907
0,0,0,2,1,0.3,0,6540.414746483146,10.5318600606556,239.1698977287037,True,1475,300,log,-175.04858,3367.68101,3368.77544,-14.92417,-6.06896
0,1,0,0,1,0.1,0,2183.6903989195725,8.549453950777865,138.58864346198678,False,485,300,log,-44.98829,1117.17939,1118.83272,-6.02895,-1.30448
0,1,0,0,1,0.3,0,6523.72885922227,14.423800018441288,238.81247699790595,False,1475,300,log,-174.92175,3358.16447,3364.77115,-14.61399,-9.67102
0,2,0,0,1,0.1,0,2140.7508879025504,12.532266033841147,137.01210166137923,True,485,300,log,-51.31377,1103.69778,1101.5079,-10.75547,-2.38556
0,2,0,0,1,0.3,0,6421.061160209209,27.027140962748874,237.9257703443513,True,1475,300,log,-176.48689,3321.52367,3340.67528,-53.71544,-10.93545
0,3,0,0,1,0.1,0,2580.052313310022,124.1778851681569,157.38521265009018,True,485,300,log,-12.76561,1289.21513,1308.55359,-4.06149,-0.88931
0,3,0,0,1,0.3,0,7402.613230780831,289.3198406174241,266.97524153185327,True,1475,300,log,-98.61858,3766.95806,3759.35182,-18.08247,-6.99559
